utc_hour,tie_frac_buy,tie_frac_sell
0,0.48615599911842267,0.5841877981030338
1,0.5426728357359795,0.5739106220082201
2,0.5197952657273335,0.5632099145562313
3,0.5040940633536368,0.5339712077107756
4,0.46988416988416987,0.5057560327651096
5,0.45614253704848806,0.5058741125911153
6,0.43792663287154804,0.4686255947784061
7,0.4222229617442922,0.43499990838892766
8,0.44272282990881745,0.46331809280141506
9,0.4353918108563933,0.4804068687812546
10,0.44295987818897337,0.46414467613950916
11,0.4139936814329891,0.44639444314685245
12,0.43626260697168945,0.4599600180794029
13,0.5003043230134621,0.5127378699727027
14,0.5575876802694574,0.5695981797458712
15,0.5512164211688784,0.5675086460376924
16,0.5265043410103002,0.5580590608348595
17,0.5455232674705499,0.5642091490314759
18,0.5700142578102603,0.5604725599703763
19,0.5387444868847118,0.5738882358000975
20,0.5596538582276119,0.576252220158014
21,0.5239967076030556,0.5350888838372357
22,0.5043918233759694,0.5459842375366569
23,0.4966624705817963,0.539942912498193
