window_start,utc_hour,phi_SB2,phi_BS2,phi_BB1,phi_SS1,eta,mu_B,mu_S,n_B,n_S,month
1769904000.0,0,0.028882075472660883,0.023260463369229743,0.7605399588889844,0.7749506397479238,0.8286332801063305,2.6327362431172814,2.008437752948514,49499,44730,2026-02
1769907600.0,1,0.02178572953178125,0.014050672180552884,0.7148435123177385,0.798391087269126,0.8573272912618511,2.4462198199744427,1.2927047726478278,38808,35264,2026-02
1769911200.0,2,0.02200566840912437,0.014900914889603576,0.7316322473695213,0.7964706988041614,0.8387219871963412,2.182817917731447,1.038011614287796,35659,26003,2026-02
1769914800.0,3,0.010548369399261922,0.0050189802278967416,0.5906701555968203,0.7419143731434683,0.8147226075884262,1.9290050837373935,1.1553768714465156,22358,22502,2026-02
1769918400.0,4,0.013903541477180169,0.010650940845946916,0.5776867206057993,0.685660751124512,0.7651066061655174,1.6613854449058927,1.0246861596164363,19038,16546,2026-02
1769922000.0,5,0.014412461135258094,0.006577825808606232,0.6209714820710702,0.7380998478445775,0.793171412048815,1.5643799697686405,1.1553039425166098,21202,20856,2026-02
1769925600.0,6,0.007320045134792778,0.007491459698094411,0.6511980769388582,0.7557744840970755,0.81578013395577,1.7095317309294682,1.0174500242387527,23899,21134,2026-02
1769929200.0,7,0.017522289120379838,0.01416804899419237,0.7399501980698382,0.8012517614968192,0.8342489023288229,1.8497062683124121,1.1214208891354218,33121,28883,2026-02
1769932800.0,8,0.009420614462923867,0.009113827761032806,0.7334835071833122,0.8005935641426752,0.8409498994052754,1.6737389344845106,0.9581618097170843,27350,22705,2026-02
1769936400.0,9,0.009563284230634973,0.01666562133277516,0.6921272697328306,0.762086714969923,0.8134036200807221,1.6006364019315007,0.8639098061501013,21109,18337,2026-02
1769940000.0,10,0.005958490344116852,0.006278652656251105,0.7250263068183671,0.8271521652438055,0.8620609396709098,1.8203940614927816,1.318682867458056,30190,36378,2026-02
1769943600.0,11,0.009982288976632253,0.009947076728004399,0.7189634447274758,0.7241640968860181,0.7753419187491667,1.687757518317591,1.196480376043459,24824,19949,2026-02
1769947200.0,12,0.017720081229395047,0.014060749581015816,0.7006988301256812,0.7700986259279986,0.8194609236073225,1.801525047687334,1.0087139280431103,24704,21776,2026-02
1769950800.0,13,0.018584082185749237,0.015233492762565366,0.624286605437528,0.7233237975843929,0.7695550095817896,2.0039849747552343,1.3353067199188033,22504,22159,2026-02
1769954400.0,14,0.018583201964513643,0.03390850369393586,0.7813605836968196,0.8556315407053084,0.894025421163309,2.487311085572755,1.8754099520907077,59816,66487,2026-02
1769958000.0,15,0.01706295476871735,0.021773114926391505,0.816216335369834,0.855086799286936,0.8998485442623069,2.6296810758711535,2.00154286245097,80368,78922,2026-02
1769961600.0,16,0.024561346319396656,0.01364708618056628,0.804447472115791,0.8524976567696867,0.886318859845518,2.2679900333802716,1.704270091293217,60164,55313,2026-02
1769965200.0,17,0.017223065786146203,0.010876486468032347,0.7883646926057571,0.8354006712126426,0.8721532909703602,1.7275332924997648,1.0977834957133306,37829,32879,2026-02
1769968800.0,18,0.012757207744102357,0.014281381934896628,0.8280401043983816,0.8483424782051309,0.8887294601727467,1.534975176287322,1.0742848523951565,42404,38584,2026-02
1769972400.0,19,0.014130400636201147,0.008366898973363792,0.7832624024574919,0.847597714206592,0.8871080438622284,1.3080419464852862,0.9313150615230855,28172,31822,2026-02
1769976000.0,20,0.01772521872069194,0.014451593828409123,0.8185502828559076,0.8585693062556625,0.903245019183164,1.584474640820316,0.9719331190415527,43848,41599,2026-02
1769979600.0,21,0.020147758247949017,0.011649388956620208,0.8031814331947015,0.8830596609517446,0.915982148702543,1.9324533157223254,0.9552135199417492,50861,46756,2026-02
1769983200.0,22,0.011242473802032686,0.01607653586873693,0.8306460774845291,0.8591756030692078,0.9029994998112741,1.774930548606082,1.004623079319231,52677,45402,2026-02
1769986800.0,23,0.04637140494992259,0.036566076425691894,0.8378064171301167,0.886609303244514,0.9374137692443186,1.731158178804073,1.100332040320998,119059,109814,2026-02
1769990400.0,0,0.020196074683546106,0.009775036636606418,0.8342925352887977,0.8903409347733148,0.9111563388549028,2.2186830844110967,1.5415973474028215,76707,67799,2026-02
1769994000.0,1,0.03107965387865081,0.01863432283868637,0.8374911459704262,0.8800911914609211,0.929999079919195,1.8560892783398473,1.2058390470542601,66680,67675,2026-02
1769997600.0,2,0.01899350404065504,0.007102881860173288,0.8151607588248588,0.8750129464059614,0.8971973854666843,2.0556751723348192,1.4440523008219714,51906,54258,2026-02
1770001200.0,3,0.0132951588872305,0.0023921696184023996,0.8458780243505806,0.8597356333337791,0.9659890966610305,3.1083306948570986,2.3281567060507236,145050,162670,2026-02
1770004800.0,4,0.01541917216034537,0.01731059635424305,0.8354198676452818,0.8349895791398546,0.8955398764402206,2.056988873498644,2.2861471844141636,69781,72146,2026-02
1770008400.0,5,0.037729199149320644,0.02199347732723273,0.8440559771702125,0.8069941922265292,0.9115742864603749,1.5573690383921939,2.5685357649565352,73670,87096,2026-02
1770012000.0,6,0.014596862840172682,0.019426651187542807,0.8691437014844818,0.8161800287947716,0.9212006711859286,1.8804081705392262,2.684716099597672,97151,110059,2026-02
1770015600.0,7,0.022539189053965354,0.02968373682501591,0.8371114155570564,0.8017918003333712,0.9013792800118477,1.8423100008246593,1.8832602434143895,60717,68720,2026-02
1770019200.0,8,0.012749309151226774,0.025704033828098754,0.805595374538478,0.7179669669041628,0.8636126286652186,2.0262761258159023,2.019959486737176,47891,56219,2026-02
1770022800.0,9,0.012223355018540678,0.040644197483064456,0.8383723982364395,0.7338200848656875,0.8795790306819956,1.8817386039159099,1.9862126661927026,54651,62453,2026-02
1770026400.0,10,0.012111506744710392,0.014599663801520979,0.7290172677014187,0.7571220097690585,0.8193791855615055,1.8377794368709428,1.3517250664496507,28233,29307,2026-02
1770030000.0,11,0.011712375019803396,0.010819281380437043,0.7278149543495721,0.7790184674809963,0.8175916653626598,1.9093144878335488,1.1626909825796625,29177,24342,2026-02
1770033600.0,12,0.018666575437341827,0.014547908864348065,0.7404898923007402,0.7638901160202878,0.8164793812441649,2.044172556534775,1.617874837075165,36778,32373,2026-02
1770037200.0,13,0.009588934401486199,0.0049862484374402875,0.7408910678718134,0.765663499450361,0.8021922585771994,1.9526401738509498,1.7050957710043544,34409,31900,2026-02
1770040800.0,14,0.024853209822529778,0.026945709562492415,0.8267231991738195,0.8564531699132327,0.9217808275219572,2.5527598555412063,1.4120830491661918,80588,76709,2026-02
1770044400.0,15,0.02417955868869744,0.022151909192731935,0.8381352300439413,0.8270673068154831,0.8839620064637806,2.828623217772132,2.6778417373011627,93393,82753,2026-02
1770048000.0,16,0.026710964685011225,0.020304351442169313,0.7474198696901255,0.723838559146545,0.8301787273764643,2.3787754092731377,2.5879588952192765,48729,56064,2026-02
1770051600.0,17,0.016301608218305636,0.021546363734277634,0.7232801329123133,0.7706829169529767,0.8194874375234272,1.993437209930827,1.4818949343802499,34921,32735,2026-02
1770055200.0,18,0.02194473328935433,0.009685303664276253,0.7050203007011173,0.7329308598273676,0.8046304985760799,1.7608711081809143,1.5992466723312015,27838,30031,2026-02
1770058800.0,19,0.016993478407208013,0.009917762497911025,0.6794679837445337,0.7372826177367529,0.818925177882177,1.7702894676279033,1.3227268783898265,26214,27174,2026-02
1770062400.0,20,0.022706836595870236,0.014962521227260233,0.7632263310809323,0.8192082010874527,0.8648024219436317,1.4239894825621642,1.0890666768927428,29974,31244,2026-02
1770066000.0,21,0.0171051041840012,0.013284772183031325,0.748153798400698,0.7272692980044911,0.796556214585159,1.2341325921191788,0.9118118223187396,22217,15696,2026-02
1770069600.0,22,0.010131792158013655,0.008989160970925886,0.6469879157905541,0.6750159964064033,0.7214131494355025,1.2635634120041712,0.8687812781942442,15098,11509,2026-02
1770073200.0,23,0.01942726940899105,0.013556161521862054,0.6766218371898515,0.7731314837579992,0.805115585403594,1.399060789158728,0.8282394880575987,19118,16383,2026-02
1770076800.0,0,0.014678492959485586,0.010826470291976208,0.7332646740630266,0.8038794046136927,0.8370775449441248,1.7207298112505192,0.9541866315806967,27097,22699,2026-02
1770080400.0,1,0.022263732740426596,0.010772181289280787,0.7422276075778355,0.8517975354871811,0.8746202833621439,1.5679813296710776,0.8633354187545033,27582,26866,2026-02
1770084000.0,2,0.02092495375135238,0.018497890940945175,0.738243100063508,0.8361642766117281,0.875485024707372,1.4600786070937875,1.1240927273908143,26852,35160,2026-02
1770087600.0,3,0.020539797464727113,0.013856574146848205,0.8145033417608276,0.8290980142125706,0.8787676620987722,1.5453724238622946,0.9901361354827944,39961,29690,2026-02
1770091200.0,4,0.015304800964572794,0.013956983495572775,0.7276189916447109,0.7386289400383187,0.7727320254894043,1.3310591297998404,1.3401572913364868,21588,20207,2026-02
1770094800.0,5,0.01245280698886852,0.0057618634584904686,0.6659619285811718,0.7777379701340743,0.7875949361050231,1.483064227113494,1.1907107367771184,18989,20853,2026-02
1770098400.0,6,0.017154672245459423,0.011291218355930523,0.7636847188797142,0.7535707123959142,0.8005497768975155,1.37611549899722,1.3383474597334923,25834,22887,2026-02
1770102000.0,7,0.010310956316839504,0.008767061859710734,0.7093511405757187,0.7397025261093653,0.7674599259562122,1.696200685499734,1.5583006366393495,24588,24674,2026-02
1770105600.0,8,0.02018741957645897,0.019370368254658942,0.7536454961446699,0.8040587894516322,0.8312233494063357,1.3384361492532344,1.0864162893863394,24696,24560,2026-02
1770109200.0,9,0.020050124580733873,0.01906617455791894,0.7674448440346078,0.8678934706336,0.8945922655149592,1.451739593796064,1.2523353978851235,31181,45663,2026-02
1770112800.0,10,0.0035541567872910437,0.010610177339864175,0.665994515664714,0.8097917755900155,0.835903722736284,1.4078400828718702,1.0998357407886963,16645,24958,2026-02
1770116400.0,11,0.010593400581303546,0.011518528336756357,0.6916128770134836,0.7934112091317777,0.8246538900573606,1.3878892893470018,1.0492811942728542,18582,22410,2026-02
1770120000.0,12,0.013308762321312952,0.020515692435438868,0.6613686054902301,0.7358827389818269,0.7654521139772688,1.6916982751813499,1.4693625485936705,22148,23990,2026-02
1770123600.0,13,0.011193766501399676,0.008167084496353295,0.710865038889376,0.7782104061214373,0.8012539113805971,1.296798658397017,1.1326834550466445,18980,21197,2026-02
1770127200.0,14,0.03200229279110599,0.0386610888276103,0.8495038335775026,0.8799854860195101,0.932838851384294,1.4914848928981495,1.2501343993930354,59389,78989,2026-02
1770130800.0,15,0.021410907029782513,0.028742030925177096,0.8618465120626911,0.8780362722845009,0.9320140341862303,2.133399503785024,1.4707778306607315,91302,86146,2026-02
1770134400.0,16,0.03102683386059202,0.02959225371216652,0.8347104566143009,0.8874875023111222,0.9359032902670507,2.3668167346470215,1.3486628196302748,81032,81005,2026-02
