var,med_open,med_placebo,contrast,ci_lo,ci_hi,n_open_days,n_placebo_days,ci_excludes_0
mu_B,1.4922219822264355,1.0352979885778226,0.4569239936486129,0.031320713989966276,0.6373045493154321,31,31,True
mu_S,1.4047731849383431,0.943413760808206,0.4613594241301371,0.1789660417168606,0.7850389012925444,31,31,True
eta,0.7854871568351106,0.7824321823814104,0.0030549744537001766,-0.08515232477616463,0.08778179875188719,31,31,False
phi_BB1,0.7057687519571801,0.687468673728486,0.018300078228694172,-0.0888627920949598,0.11684688243785406,31,31,False
phi_SS1,0.7301917839599953,0.7259680986958301,0.004223685264165167,-0.08819270327236062,0.06589326155190058,31,31,False
phi_SB2,0.015907121208960803,0.010059951719578498,0.005847169489382305,0.0003852722067396383,0.010171632472482744,31,31,True
phi_BS2,0.012895414717565138,0.011636714052595502,0.0012587006649696364,-0.0016418757291972765,0.009259305250644766,31,31,False
