date,slot,phi_SB2,phi_BS2,n_B
20423,open_1430_60,0.02663862542492075,0.019426622828448613,65256
20423,open_1430_30,0.0256454868503782,0.01997572510222373,35171
20423,plac30_h2,0.03431821073298437,0.02079011972725288,29217
20423,plac30_h5,0.02127306236620853,0.013568999115180697,10945
20423,plac30_h8,0.011615967304098874,0.01083335381151089,13076
20423,plac30_h20,0.013419708572202461,0.01247062444949986,15950
20423,plac30_h23,0.00637820498789439,0.004592923938019963,7166
20424,open_1430_60,0.01810441423764538,0.04831446656806007,90984
20424,open_1430_30,0.02746283266967292,0.029349199719924727,33659
20424,plac30_h2,0.01080414621676538,0.008075399064247247,9970
20424,plac30_h5,0.005750660908879448,0.006889368964245233,8535
20424,plac30_h8,0.018808033098768516,0.010195453517133381,10827
20424,plac30_h20,0.011169308789435848,0.013915279676187577,19951
20424,plac30_h23,0.008714985781720714,0.012906743107064399,6417
20425,open_1430_60,0.03017076876747624,0.009988375530658842,86142
20425,open_1430_30,0.03248657571351701,0.029650463820544887,52204
20425,plac30_h2,0.01583413270275919,0.014907286604429578,16374
20425,plac30_h5,0.011860569926242681,0.01574305257883524,17132
20425,plac30_h8,0.014896372788900552,0.01214390896802551,15907
20425,plac30_h20,0.008893566002337943,0.01373219592747223,16053
20425,plac30_h23,0.008853306631812803,0.009252129890035177,10350
20426,open_1430_60,0.027909862722359863,0.004770191512669953,61243
20426,open_1430_30,0.021663295384905187,0.008496643177951279,28988
20426,plac30_h2,0.005633514106472182,0.018176975975350566,13694
20426,plac30_h5,0.0076200574273413285,0.0003909295681752708,8505
20426,plac30_h8,0.001609372137427374,0.0008735986063044824,9395
20426,plac30_h20,0.005298659098064896,0.008959172153211258,16896
20426,plac30_h23,0.0029531326954372037,0.000701919256402771,4395
20427,open_1430_60,0.011243469102275618,0.025264441639860538,75465
20427,open_1430_30,0.02305895408957444,0.01739848765459407,33938
20427,plac30_h2,0.012061157661674798,0.008103393636593055,6320
20427,plac30_h5,0.0028195145795451167,0.011744675266630148,5034
20427,plac30_h8,0.00582028000995752,0.004696651119314516,7304
20427,plac30_h20,0.007794813917156981,0.010209575022236041,13238
20427,plac30_h23,0.0022991390654225436,0.010576515496138333,5067
20428,open_1430_60,0.014702286077265554,0.016402341295272793,18233
20428,open_1430_30,0.003044796677935519,0.008733423161413543,8996
20428,plac30_h2,0.0015232815136304162,0.0018085687633219536,5261
20428,plac30_h5,0.008357461458938292,0.006624359420195485,4194
20428,plac30_h8,0.00921066292318566,0.0017725821543449407,7908
20428,plac30_h20,0.006602419301198511,0.0005706883160349527,5152
