window_start,utc_hour,symbol,n_B,n_S,mu_B,mu_S,phi_BB1,phi_SS1,phi_BS1,phi_SB1,phi_BB2,phi_SS2,phi_BS2,phi_SB2,eta,loglik
1764547200.180386,0,BTCUSDT,108202,109978,3.2569865694727227,2.1007346040147277,0.7932123666328807,0.8619526284814873,0.0005903876843992879,0.0005829990255717965,0.03478871494489419,0.03939929540708562,0.03253451672387976,0.06285483874078776,0.9233830511652226,1002205.4387239084
1764550800.180386,1,BTCUSDT,49954,42219,2.8607843635249828,1.2792492551802896,0.731851761797749,0.8207948119609,0.0011876648773597794,0.0009606458809607807,0.03694295025200446,0.03812902000007797,0.02596140117231397,0.028309771024391656,0.867014507362364,369825.9721962412
1764554400.180386,2,BTCUSDT,47393,38016,2.7249446994946473,1.3742994381415141,0.7230738591721937,0.8339538552463285,0.00038420947978732315,0.00033919787819165493,0.04632426905913146,0.010009325068100405,0.022113449921988503,0.025079284396402012,0.8509733523704515,355314.7519455638
1764558000.180386,3,BTCUSDT,46739,34261,3.170547287500989,1.454407047317049,0.7124680170156207,0.808652952952691,0.0004543291081264392,0.0005471886309679868,0.03197013836297284,0.01937162890378437,0.014659609163988193,0.014895856873632107,0.83072943497244,326141.82222308026
1764561600.180386,4,BTCUSDT,45197,33324,3.4045298332064053,1.2999412335543687,0.6624369540077268,0.8084617767349035,0.0004837213561251368,0.00047606295621617153,0.038886348868348755,0.029122069928714554,0.01569958075596164,0.03441839547701921,0.8416092502997863,303175.7237304824
1764565200.180386,5,BTCUSDT,27914,20204,2.4238918439261443,0.9915172285236566,0.6337869990938344,0.7779872994568718,0.0008769121753948176,0.0005905956045846127,0.036559269760719756,0.023944707713971457,0.014380295946906306,0.022993086186111695,0.8046119265745173,170371.96660065968
1764568800.180386,6,BTCUSDT,28088,21397,2.3247971318842118,1.2201125425441475,0.6610170593231848,0.7547626454284032,0.0005518901560392868,0.0005553050804850537,0.017197795503174733,0.018010619450147813,0.022810297776881167,0.026473784882003484,0.7790363973738884,176476.10928914693
1764572400.180386,7,BTCUSDT,26951,26607,2.550364619073014,1.5023445071482444,0.617210664837919,0.7461972946361736,0.0006486251942457483,0.0004605493914951918,0.0278649129996041,0.030998325712142814,0.01924570232996865,0.013443728945369516,0.7792571278153793,186864.24275537222
1764576000.180386,8,BTCUSDT,25041,22842,2.285779058969098,1.2815979257694177,0.6381316192394082,0.7336808552828498,0.0008231611926178843,0.0009311292822205979,0.021288297548028825,0.05731384163278934,0.009847724787869695,0.010353498401275116,0.791903616095671,164894.75223565826
1764579600.180386,9,BTCUSDT,24034,27465,2.0402706133351196,1.2490805949280788,0.6395811259391718,0.7884811320912264,0.000766364910914017,0.00048274114752525126,0.040074680195209815,0.04352080139428161,0.009798705730746048,0.010388769348645745,0.8327521686607806,186721.29850471794
