date,open_count,ctrl_count,phi_SB2_open_A,phi_SB2_ctrl_A,phi_BS2_open_A,phi_BS2_ctrl_A,phi_BB1_open_A,phi_BB1_ctrl_A,phi_SS1_open_A,phi_SS1_ctrl_A,eta_open_A,eta_ctrl_A,mu_B_open_A,mu_B_ctrl_A,mu_S_open_A,mu_S_ctrl_A,phi_SB2_open_B,phi_SB2_ctrl_B,phi_BS2_open_B,phi_BS2_ctrl_B,phi_BB1_open_B,phi_BB1_ctrl_B,phi_SS1_open_B,phi_SS1_ctrl_B,eta_open_B,eta_ctrl_B,mu_B_open_B,mu_B_ctrl_B,mu_S_open_B,mu_S_ctrl_B,phi_SB2_open_C,phi_SB2_ctrl_C,phi_BS2_open_C,phi_BS2_ctrl_C,phi_BB1_open_C,phi_BB1_ctrl_C,phi_SS1_open_C,phi_SS1_ctrl_C,eta_open_C,eta_ctrl_C,mu_B_open_C,mu_B_ctrl_C,mu_S_open_C,mu_S_ctrl_C,phi_SB2_h13_A,phi_SB2_h15_A,phi_SB2_h14_A
20423,42473,42678,0.05170492913204469,0.10022735039159239,0.04311991500830376,0.03457399464781432,0.3706890826485579,0.37365349479348403,0.47225372054524356,0.42599975216724206,0.752977727035337,0.7298188615107516,2.430821495964523,1.6830798218015461,1.2306827908671043,1.4728999339070774,0.04119092987547535,0.0830390281921271,0.041583231406895745,0.021933963682061835,0.3709675439446267,0.376402711961399,0.4729926794775171,0.42571744832531894,0.7292571156069667,0.6884601604635466,2.5395149954775067,2.0762830439091062,1.3527046446131425,1.5980477512107738,0.04483141450585533,0.07899711557667978,0.025989883941883094,0.0205974022059356,0.37054949244662344,0.3773938626524439,0.47283272276528604,0.4261573038552203,0.7237922781814043,0.6783105191793981,2.589137975579628,2.2370036785992933,1.4605938856124117,1.6611906203313989,0.001994469725048357,0.10002952071865062,0.05170492913204469
20424,54293,54329,0.048222899426653365,0.12890028032661544,0.11974067816342344,0.034273959398663324,0.44192432166400475,0.3754604790922017,0.37282115506955904,0.3902451292356854,0.6999163190896304,0.8215159930497697,2.000644324255884,1.4113348227984694,2.4772509278138743,1.360068351527411,0.03145689977496781,0.11207018078804112,0.10903558528338461,0.036576831272227134,0.4411244975448482,0.3768930494803148,0.3753323081270639,0.38991106579640744,0.6663642156767269,0.7917211817680525,2.1011710005559032,1.6486510789349575,2.6022132991733997,1.4703126379602123,0.03809858540864893,0.11625600976854357,0.09385501418281782,0.035884495010823296,0.4409121268317315,0.3758309410227369,0.37380075522584455,0.3922219984415324,0.6620407177272044,0.7907924453218746,2.139669927964866,1.697745459350442,2.8128703487888624,1.4670190224656527,0.02204652303810138,0.03273288854375712,0.048222899426653365
20425,74493,74622,0.06467345348504526,0.08696244869854206,0.06176210188810483,0.011406717261319909,0.5577567482061438,0.5921918385334782,0.5402997715006221,0.47357636218878063,0.8323949233659983,0.769443203140669,1.4579939574735363,2.5399427261614407,2.0541064030906484,2.5076124828760946,0.05873195659343153,0.09032760693050323,0.051913282892803045,0.016619943757772957,0.5605343867585584,0.5926711978090978,0.5406427673537008,0.4735248805366964,0.8158077751168066,0.7596493732918,1.5644403410840422,2.7068205331448776,2.3837998249249925,2.5468555456008053,0.05946519942658037,0.08451564715660236,0.05089153415908363,0.0164247475234886,0.5571671911681785,0.590407786210062,0.5409261885509513,0.4740335747150467,0.8007998451950928,0.750940001953693,1.7094023023447151,2.7864303285359835,2.3849864649180925,2.5366855731425018,0.02821116466909434,0.04403365092158594,0.06467345348504526
20426,31393,31385,0.04794802059687696,0.04422197732690947,0.028731631516651056,0.03128403223132238,0.45869907546546207,0.4422601341137242,0.4429152218341056,0.4563421382100309,0.7385844610946564,0.6545858685161647,1.0043029547527251,1.708879274404978,1.3018285620863406,1.3084203402133479,0.027461054814992534,0.0463169707633378,0.01824683789203584,0.02824452864168623,0.45994441630934246,0.44420016481853175,0.4437278235438747,0.456547955105821,0.7049482064611605,0.6457820685748771,1.2747206232084383,1.7618205686674582,1.4766266393682488,1.3579776175223597,0.030548438382891063,0.04358913161499126,0.017237959131246063,0.025768146794275158,0.45993221690223207,0.4440351837017102,0.44345440305140515,0.45631544881188624,0.7019732593487723,0.6414982102317133,1.207778557617688,1.780214582974027,1.445458971984571,1.3461283183227635,0.019600132706884044,0.030663025382558287,0.04794802059687696
20427,34909,34903,0.06833307114688567,0.03289497659014215,0.026450419276746524,0.0668279871065267,0.4876714369310053,0.5807050367973714,0.4480811050998541,0.48456931135969433,0.7114690476203448,0.7566177218752499,1.5809532922799845,1.1112212990901422,1.199528600302807,1.2528077583925243,0.04717204201068465,0.023440847464130065,0.01944402800593272,0.052954184771746036,0.48850309107395434,0.5801080569109005,0.4508137314585934,0.48515736571390833,0.6896557795313986,0.7172282426587973,1.6676289318942368,1.3722460273387147,1.2901974493256032,1.5244190731820648,0.053139413250065465,0.022725420062549743,0.019569237455799846,0.053565684215161814,0.48903121595819704,0.5801968413771725,0.4498836250429358,0.487061740468627,0.6854258710882413,0.710437411430504,1.7421111221952823,1.347292829004515,1.3084962426889655,1.5848617554024853,0.09284454681866973,0.0331667644120398,0.06833307114688567
20428,24683,24654,0.002973774211455157,0.06337068913506168,0.09256953107505808,0.012272190278275152,0.28816019731772174,0.4628145184562628,0.39979021260390935,0.46940882263572403,0.7080336786773503,0.7144888254424558,1.1102771093213144,1.139730490293339,1.0805165609325598,0.8054371113425758,0.012184580322699675,0.05345801347562278,0.08379632857571895,0.012865360623291648,0.2888208105323139,0.46405035424706126,0.40140333643840803,0.46952133022998505,0.7009598909865705,0.7008298590941796,1.08986275821707,1.2373903466501235,1.1018396155617753,0.8154463440209234,0.006755932789774913,0.04869773296415879,0.07437364864682264,0.008657578935130228,0.2898002276035036,0.46389316784316537,0.40270323001155545,0.4699372332607241,0.6808773763815851,0.6909363484283346,1.1658680031585607,1.257587280600445,1.252459015006607,0.8612859437468949,0.013013815702887909,0.02323559705829411,0.002973774211455157
20429,43785,43749,0.07317135313224234,0.04487227080927335,0.03946030085079356,0.06217050804118915,0.4704071647459088,0.5815612612492046,0.5600515432473984,0.5383677288624288,0.8343445724200952,0.8082015791587298,1.068081651240334,1.316605349190373,0.990458969699076,0.9878927157584243,0.05499213135158006,0.039680764039376974,0.03254879169096211,0.06057498114445601,0.47334031392599896,0.5829704904196208,0.5615994811338598,0.5395453218911268,0.803016524090213,0.7905983264313443,1.3397861161726345,1.4640866569982205,1.1108037824609782,1.0972557766268416,0.054059498955938735,0.037535594316359874,0.027461838962817134,0.055950131977321335,0.47326583550111695,0.5838448312136888,0.561103591257501,0.5405768585106019,0.7878553084252452,0.777101193424147,1.4744933257134702,1.4747875996015916,1.2023276025230716,1.2151819121146714,0.05590206177680741,0.04295858597188572,0.07317135313224234
20430,41283,41227,0.04265299900844416,0.04708099713178844,0.020508704285024403,0.028360349618582175,0.5243169455510541,0.6107793278198683,0.5310206929386503,0.6327639563965943,0.7882041740001383,0.8490317025538542,1.209552103607517,1.0842033679367462,1.1986298365079313,0.7254121607952255,0.029251240709513043,0.03581384320021745,0.016983028292465518,0.025756591440041294,0.5257610161227378,0.6167632014633658,0.5298819554064526,0.620951951209978,0.7592880548319891,0.8256007991920342,1.4907537046834556,1.2434125319430072,1.2345638242870554,0.88505377509657,0.026232979006471688,0.035133459272722184,0.015562853310728838,0.02772508888408282,0.5264225713366234,0.6138201925061765,0.5330585258469484,0.6204216500158836,0.752420388362445,0.8165226642611039,1.5701344210636163,1.252409546152695,1.31010633564732,0.8682852479584855,0.0236876024777071,0.06234666175783313,0.04265299900844416
20431,28086,28036,0.02639599210679694,0.023340683247862454,0.02693635359405335,0.057978789703471444,0.49439795069326953,0.4262450984831927,0.43084219075519753,0.41644221086558253,0.695098734143574,0.672530075321276,1.035572354562444,1.2289426257132816,1.3506081626966673,1.3229355570568537,0.01618695174622595,0.015300521751384848,0.011211732003028349,0.05318986911569419,0.4940396629125506,0.4259307682323164,0.43305809858508354,0.4164662434197006,0.6715914743294196,0.6611744136307528,1.1378207369542261,1.29584886166906,1.5121944846233577,1.374879018096456,0.008419759270929023,0.013671319432847598,0.001482820302838215,0.05067178517824678,0.4942716888083954,0.42763358443171434,0.4335777034806134,0.4179083371537498,0.6634020548436153,0.6600282215136661,1.1764243707666049,1.3101039103097851,1.5677121076385512,1.3656033568310533,0.0014682089302216967,0.054358590229458825,0.02639599210679694
20432,23319,23355,0.05206340254806447,0.0977207892037095,0.02551055335936483,0.04815356368440225,0.3977970542535315,0.4296180324309896,0.47226390909351523,0.2834410685969439,0.663119852983338,0.6536908620042174,1.1505157470615865,1.0188515594251502,1.0488654833401667,1.4058311825723184,0.050215783952597286,0.08655006335328441,0.0069332982344571005,0.045328261459874154,0.39733972829005204,0.43140487254064597,0.4724000952059682,0.28403347062006806,0.645736773924022,0.6367037567277563,1.2317885925189744,1.124181709467644,1.1039939972014987,1.4472814171453834,0.04456671100837822,0.07433688239190239,0.004178073337073966,0.04234804232680048,0.39749551295635016,0.4303257361477857,0.4718923819375197,0.28402054121775033,0.6386190523219348,0.6229238387370173,1.2297499304299717,1.180169448147202,1.1034397225050319,1.4818930470370784,0.0288801558724916,0.04538898507198625,0.05206340254806447
20433,36078,36044,0.06430792341162869,0.09271460051239064,0.0475675465362393,0.07456835045723079,0.48249018032180785,0.14342187233938206,0.5695539799363334,0.1565638285582808,0.7942946460770235,0.4021016198365669,0.9318775382504567,2.9639545288750506,1.1173492999761276,3.033491559507225,0.03982191079258169,0.0900283181746066,0.03744616239265172,0.07803819141847261,0.48287405961527063,0.1433359048572428,0.5696541453832973,0.15678481246646206,0.7608829465578589,0.39301918548669235,1.3660722104684213,3.003916370470241,1.2127334784031039,3.0524403150038975,0.038676528877555884,0.07608575264352237,0.02972132862180877,0.0650662731582196,0.4834272028303604,0.1436820825226166,0.5695359188217725,0.15759941750936407,0.744900713996702,0.3616739408609008,1.3115408079905633,3.1892553877369134,1.2985738165028406,3.1842728115877943,0.019614070282091816,0.0225942568659891,0.06430792341162869
20434,29523,29523,0.00347640280174973,0.04400403433104472,0.015901317805441545,0.0005524717097989299,0.452044406527655,0.406360094490988,0.4866001489894075,0.2827724289153569,0.6554803037517408,0.6358236486256124,1.5195438528592922,1.260256516981306,1.2987695243221977,1.8362001054194044,0.021954045123889952,0.03435163114145837,0.017921027143215775,0.01939253049663881,0.4512298811723874,0.4062545081499824,0.4876329645588837,0.28450204104178684,0.6555521796308581,0.6203349631085207,1.4759847275607905,1.366998009388806,1.3318396621292414,2.192644579201569,0.02072635950553708,0.03859311787930616,0.013986435213462501,0.006614872260541407,0.4516497008700228,0.40684445185515045,0.49068106224728475,0.2875910233330599,0.6556099581579379,0.6139491423735601,1.483722016005038,1.3959869906662539,1.3520082442556918,2.21654245054194,0.01857471699814028,0.07803440770102067,0.00347640280174973
20435,18844,18844,0.06365622236030506,0.007206449052324455,0.038062256506909725,0.060749262339436304,0.4002086616823511,0.4060079635414723,0.22710621833739633,0.46157276955220544,0.610636427213297,0.6712009368544096,1.034715288339979,1.0588743643677752,1.3139998784936693,0.6669016332368567,0.024697005588703237,0.0035243760123058734,0.019735176683432,0.05749532067457669,0.4018731402362035,0.4067663344221447,0.22922851988050635,0.4628532692664187,0.5709592327887338,0.6588802105188668,1.1753729172413758,1.1091782609962701,1.486146106715042,0.6738961895929952,0.011442256898170619,0.000993072426813635,0.018292982137863446,0.04964882040920187,0.4035113428862555,0.40686242523650207,0.23103348745827723,0.4637745920181932,0.5593161989754318,0.6486572973230607,1.276347629465898,1.1059246842203279,1.4916200706137663,0.737361942587763,0.03966723684867561,0.01137411357784896,0.06365622236030506
