window_start,utc_hour,phi_SB2,phi_BS2,phi_BB1,phi_SS1,eta,mu_B,mu_S,n_B,n_S,month
1767225600.0,0,0.008693597587237416,0.007914077280277095,0.470604321223702,0.45045597346580574,0.570456971598406,1.0317731642421928,0.7564662391293594,8719,5936,2026-01
1767229200.0,1,0.00039428161849830554,0.007915885497529944,0.5887067930679465,0.5319268684355651,0.6366005471300422,0.9157075574331666,0.6659628163578851,9088,6578,2026-01
1767232800.0,2,0.001201848556130226,0.008879549792319915,0.5966610017993205,0.5873749881306558,0.6679769153810058,0.7511262331512436,0.6012086110709025,7770,6773,2026-01
1767236400.0,3,0.0060003672476914025,0.0012664950439509005,0.4577253641511373,0.5611802389684348,0.7570519337300088,0.5771640708010075,0.6050693646096754,8595,5681,2026-01
1767240000.0,4,0.008159989273138385,0.007520637053114252,0.5463447994565764,0.7160082052831075,0.7598333629776646,1.1069435116530453,0.7038658789872,10422,10841,2026-01
1767243600.0,5,0.0024514323794858485,0.007662554564709157,0.47551756874739043,0.4913356812583592,0.5422024930821893,1.289142333969915,0.6293288020025984,10139,5042,2026-01
1767247200.0,6,0.030558666573602924,5.738010739003101e-05,0.19971023296348114,0.26913466509243905,0.3592726281277684,0.98632721690607,0.738194449816214,5780,3801,2026-01
1767250800.0,7,0.0071414354872371515,0.007368888273900826,0.3444220900910462,0.4443549064785568,0.5189782444672365,1.155046332159293,0.6780794853020212,7168,5242,2026-01
1767254400.0,8,0.0006718867134507111,0.001620702599789363,0.4959942997765864,0.469207568038692,0.5731290319435141,1.0980320091512044,0.8685140385548575,8866,7421,2026-01
1767258000.0,9,7.654235180442291e-05,0.0006912423495513807,0.4538917561649255,0.4324149531819319,0.5109297719667,1.0406378676839674,0.9074344862868537,7559,6763,2026-01
1767261600.0,10,0.010972503684964168,0.0006155536910717992,0.23118346828356134,0.3347228869501333,0.47794056355766457,0.9741486318510014,0.8071866109903558,5419,5601,2026-01
1767265200.0,11,0.0002468434021332359,0.011805881174149262,0.42437322294316376,0.39147398810844003,0.46267539145329317,1.1349450209622403,0.9737129453306761,7593,6541,2026-01
1767268800.0,12,0.0091028857996744,0.005868692768830116,0.31145623529086264,0.42496210619848535,0.48501865527388405,1.0781715683682473,1.1642857290367974,6170,8274,2026-01
